year,district,subject,grade,n_tested,pct_met_grade_level,pct_approaches,pct_masters,state_avg_met
2019,Beaumont ISD,Math,3,761,57,64,41,72
2019,Nederland ISD,Math,3,325,78,86,61,73
2019,Port Arthur ISD,Math,3,262,53,61,39,71
2019,Hamshire-Fannett ISD,Math,3,343,73,79,58,72
2019,Hardin-Jefferson ISD,Math,3,104,71,79,59,69
2019,Beaumont ISD,Math,4,898,57,62,45,72
2019,Nederland ISD,Math,4,257,75,81,62,71
2019,Port Arthur ISD,Math,4,453,54,64,43,72
2019,Hamshire-Fannett ISD,Math,4,323,81,92,65,70
2019,Hardin-Jefferson ISD,Math,4,249,70,77,60,75
2019,Beaumont ISD,Math,5,748,54,64,39,70
2019,Nederland ISD,Math,5,387,74,83,63,74
2019,Port Arthur ISD,Math,5,317,47,58,30,70
2019,Hamshire-Fannett ISD,Math,5,370,79,84,62,72
2019,Hardin-Jefferson ISD,Math,5,361,67,73,49,73
2019,Beaumont ISD,Math,6,806,59,70,49,73
2019,Nederland ISD,Math,6,149,79,90,67,75
2019,Port Arthur ISD,Math,6,190,46,53,36,71
2019,Hamshire-Fannett ISD,Math,6,232,77,88,59,70
2019,Hardin-Jefferson ISD,Math,6,275,70,76,60,72
2019,Beaumont ISD,Math,7,946,57,65,40,75
2019,Nederland ISD,Math,7,398,76,83,66,71
2019,Port Arthur ISD,Math,7,225,48,58,32,73
2019,Hamshire-Fannett ISD,Math,7,362,81,92,62,75
2019,Hardin-Jefferson ISD,Math,7,295,65,74,52,75
2019,Beaumont ISD,Math,8,926,55,66,42,75
2019,Nederland ISD,Math,8,356,77,83,59,71
2019,Port Arthur ISD,Math,8,328,50,58,37,74
2019,Hamshire-Fannett ISD,Math,8,357,79,84,61,72
2019,Hardin-Jefferson ISD,Math,8,279,71,80,53,72
2019,Beaumont ISD,Reading/ELA,3,860,56,66,42,78
2019,Nederland ISD,Reading/ELA,3,200,74,80,57,74
2019,Port Arthur ISD,Reading/ELA,3,246,54,60,41,72
2019,Hamshire-Fannett ISD,Reading/ELA,3,288,82,89,72,73
2019,Hardin-Jefferson ISD,Reading/ELA,3,294,70,81,56,72
2019,Beaumont ISD,Reading/ELA,4,877,54,61,43,72
2019,Nederland ISD,Reading/ELA,4,457,78,89,65,75
2019,Port Arthur ISD,Reading/ELA,4,144,55,62,45,74
2019,Hamshire-Fannett ISD,Reading/ELA,4,412,81,88,71,76
2019,Hardin-Jefferson ISD,Reading/ELA,4,411,74,81,59,75
2019,Beaumont ISD,Reading/ELA,5,762,56,62,44,75
2019,Nederland ISD,Reading/ELA,5,245,76,87,63,75
2019,Port Arthur ISD,Reading/ELA,5,334,57,62,39,72
2019,Hamshire-Fannett ISD,Reading/ELA,5,102,84,95,65,73
2019,Hardin-Jefferson ISD,Reading/ELA,5,383,68,73,55,78
2019,Beaumont ISD,Reading/ELA,6,892,54,59,40,73
2019,Nederland ISD,Reading/ELA,6,251,78,85,66,74
2019,Port Arthur ISD,Reading/ELA,6,232,52,57,35,77
2019,Hamshire-Fannett ISD,Reading/ELA,6,368,79,89,61,74
2019,Hardin-Jefferson ISD,Reading/ELA,6,443,68,77,57,72
2019,Beaumont ISD,Reading/ELA,7,933,55,60,42,73
2019,Nederland ISD,Reading/ELA,7,406,74,79,60,75
2019,Port Arthur ISD,Reading/ELA,7,223,52,60,40,78
2019,Hamshire-Fannett ISD,Reading/ELA,7,388,81,91,66,78
2019,Hardin-Jefferson ISD,Reading/ELA,7,372,71,78,60,76
2019,Beaumont ISD,Reading/ELA,8,847,58,63,48,77
2019,Nederland ISD,Reading/ELA,8,222,78,85,68,75
2019,Port Arthur ISD,Reading/ELA,8,378,49,57,35,75
2019,Hamshire-Fannett ISD,Reading/ELA,8,348,81,92,69,74
2019,Hardin-Jefferson ISD,Reading/ELA,8,144,66,77,52,75
2019,Beaumont ISD,Science,5,775,52,57,33,64
2019,Nederland ISD,Science,5,258,71,78,54,65
2019,Port Arthur ISD,Science,5,304,48,54,29,65
2019,Hamshire-Fannett ISD,Science,5,208,68,73,53,64
2019,Hardin-Jefferson ISD,Science,5,246,64,70,46,68
2019,Beaumont ISD,Science,8,714,53,61,34,68
2019,Nederland ISD,Science,8,205,72,82,60,64
2019,Port Arthur ISD,Science,8,339,47,55,36,70
2019,Hamshire-Fannett ISD,Science,8,203,69,75,54,70
2019,Hardin-Jefferson ISD,Science,8,396,63,71,44,64
2019,Beaumont ISD,Social Studies,8,778,53,58,36,72
2019,Nederland ISD,Social Studies,8,273,72,80,58,69
2019,Port Arthur ISD,Social Studies,8,268,49,59,37,69
2019,Hamshire-Fannett ISD,Social Studies,8,335,76,85,65,69
